Rank,Name,Team,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
17,강승호,/data/team/ci/2025/6002.svg,3B,0.78,19,0.43,0.34,83,83,75,10,19,5,1,1,29,6,2,1,7,1,0,24,1,0,0,0.253,0.325,0.387,0.712,0.117,103.0
18,김지찬,/data/team/ci/2025/1001.svg,CF,0.70,11,0.82,-0.12,49,49,43,13,17,3,1,0,22,2,4,0,5,1,0,4,0,0,0,0.395,0.469,0.512,0.981,0.227,190.4
19,박해민,/data/team/ci/2025/5002.svg,CF,0.68,20,0.40,0.28,67,65,54,11,13,3,0,0,16,2,5,0,10,1,0,17,2,2,0,0.241,0.369,0.296,0.665,0.121,112.2
20,김주원,/data/team/ci/2025/11001.svg,SS,0.68,16,0.38,0.29,72,71,60,12,13,2,0,2,21,9,2,1,10,0,0,17,1,1,1,0.217,0.324,0.350,0.674,0.106,91.0
21,노시환,/data/team/ci/2025/7002.svg,3B,0.65,22,0.48,0.18,93,92,86,13,22,3,1,5,42,15,4,1,5,2,1,21,2,0,0,0.256,0.312,0.488,0.800,0.135,111.5
22,김현수,/data/team/ci/2025/5002.svg,DH,0.64,20,0.66,-0.02,67,67,57,9,19,3,0,1,25,10,0,0,8,2,0,6,1,0,0,0.333,0.433,0.439,0.872,0.189,177.6
23,천성호,/data/team/ci/2025/12001.svg,2B,0.62,10,0.27,0.35,30,30,23,2,6,2,0,0,8,2,0,1,5,2,0,5,0,0,0,0.261,0.433,0.348,0.781,0.177,143.9
24,김성윤,/data/team/ci/2025/1001.svg,CF,0.61,19,0.39,0.22,55,53,48,11,15,3,2,0,22,6,3,2,4,1,0,8,0,2,0,0.313,0.377,0.458,0.835,0.166,141.2
25,박민우,/data/team/ci/2025/11001.svg,2B,0.60,13,0.49,0.11,51,51,45,6,13,4,1,0,19,3,5,2,5,1,0,11,0,0,0,0.289,0.373,0.422,0.795,0.155,136.1
26,송찬의,/data/team/ci/2025/5002.svg,LF,0.57,19,0.26,0.31,62,61,56,4,14,5,0,2,25,7,1,1,4,1,0,18,0,1,0,0.250,0.311,0.446,0.757,0.127,117.7
27,정수빈,/data/team/ci/2025/6002.svg,CF,0.57,19,0.41,0.16,82,80,68,14,20,3,0,0,23,3,3,2,10,1,0,11,0,2,1,0.294,0.388,0.338,0.726,0.135,118.6
28,김상수,/data/team/ci/2025/12001.svg,SS,0.54,18,0.50,0.03,70,69,56,7,13,3,0,1,19,3,1,0,14,0,1,6,1,0,0,0.232,0.386,0.339,0.725,0.138,114.1
29,나성범,/data/team/ci/2025/2002.svg,RF,0.50,20,0.70,-0.20,86,86,70,12,17,4,0,4,33,15,0,0,15,1,0,16,4,0,0,0.243,0.384,0.471,0.855,0.174,146.9
30,레이예스,/data/team/ci/2025/3001.svg,LF,0.48,22,0.19,0.30,98,97,89,8,27,8,0,0,35,13,2,0,6,0,1,14,2,0,3,0.303,0.337,0.393,0.730,0.115,89.7
31,김형준,/data/team/ci/2025/11001.svg,C,0.48,16,0.48,0.00,51,50,45,7,11,3,0,4,26,11,0,0,4,0,0,18,1,1,1,0.244,0.300,0.578,0.878,0.153,130.4
32,김선빈,/data/team/ci/2025/2002.svg,2B,0.48,9,0.54,-0.06,30,30,26,4,11,3,0,0,14,6,0,0,4,0,0,2,0,0,0,0.423,0.500,0.538,1.038,0.248,210.9
33,에레디아,/data/team/ci/2025/9002.svg,LF,0.47,13,0.29,0.17,57,55,48,6,15,0,0,1,18,6,0,0,7,1,2,8,2,0,1,0.313,0.404,0.375,0.779,0.143,120.8
34,최재훈,/data/team/ci/2025/7002.svg,C,0.45,18,0.49,-0.04,50,48,34,4,9,1,0,0,10,4,1,1,7,5,0,5,1,2,2,0.265,0.438,0.294,0.732,0.165,134.4
35,문성주,/data/team/ci/2025/5002.svg,DH,0.45,13,0.34,0.11,36,36,30,5,11,1,0,0,12,6,1,0,5,0,0,5,1,0,1,0.367,0.444,0.400,0.844,0.177,167.1
36,류지혁,/data/team/ci/2025/1001.svg,2B,0.44,20,0.46,-0.01,73,72,60,9,19,0,0,0,19,10,2,0,8,2,0,12,1,1,2,0.317,0.403,0.317,0.720,0.135,112.4
37,데이비슨,/data/team/ci/2025/11001.svg,1B,0.44,16,0.30,0.14,65,65,57,9,16,4,0,4,32,14,0,0,4,1,0,19,2,0,3,0.281,0.323,0.561,0.884,0.156,133.7
38,홍창기,/data/team/ci/2025/5002.svg,RF,0.41,17,0.25,0.17,79,78,63,10,16,1,0,0,17,9,1,0,10,4,0,17,2,1,1,0.254,0.385,0.270,0.655,0.123,113.8
39,권희동,/data/team/ci/2025/11001.svg,LF,0.41,16,0.66,-0.25,64,64,44,10,12,0,0,1,15,3,0,1,15,5,0,10,1,0,0,0.273,0.500,0.341,0.841,0.214,182.5
40,이유찬,/data/team/ci/2025/6002.svg,2B,0.39,12,0.21,0.18,33,33,30,6,9,1,1,0,12,4,3,0,3,0,0,6,2,0,0,0.300,0.364,0.400,0.764,0.139,116.1
41,신민재,/data/team/ci/2025/5002.svg,2B,0.39,20,0.20,0.19,70,69,58,11,13,1,0,0,14,10,4,2,11,0,0,6,0,1,0,0.224,0.348,0.241,0.589,0.092,85.7
42,구본혁,/data/team/ci/2025/5002.svg,SS,0.38,18,0.32,0.06,38,35,29,4,8,0,1,0,10,6,0,0,5,1,0,7,0,3,0,0.276,0.400,0.345,0.745,0.150,140.8
43,케이브,/data/team/ci/2025/6002.svg,RF,0.37,12,0.28,0.09,49,49,44,3,12,4,0,1,19,8,2,0,3,1,0,12,0,0,1,0.273,0.327,0.432,0.759,0.127,113.2
44,최형우,/data/team/ci/2025/2002.svg,DH,0.35,18,0.31,0.05,74,74,68,9,20,7,0,2,33,7,0,0,6,0,0,17,2,0,0,0.294,0.351,0.485,0.836,0.157,132.8
45,황성빈,/data/team/ci/2025/3001.svg,CF,0.34,13,0.29,0.05,55,54,51,9,18,0,0,0,18,5,7,1,3,0,0,7,0,1,0,0.353,0.389,0.353,0.742,0.131,102.1
46,도태훈,/data/team/ci/2025/11001.svg,2B,0.33,10,0.14,0.19,25,23,21,2,6,0,1,0,8,1,2,0,2,0,0,3,1,2,0,0.286,0.348,0.381,0.729,0.125,110.4
47,박한결,/data/team/ci/2025/11001.svg,LF,0.33,4,0.19,0.14,10,10,9,2,2,0,0,2,8,3,0,0,1,0,0,3,0,0,0,0.222,0.300,0.889,1.189,0.243,190.2
48,김민혁,/data/team/ci/2025/12001.svg,LF,0.31,19,0.34,-0.03,77,76,70,8,22,3,0,0,25,4,4,0,5,2,1,8,3,0,0,0.314,0.377,0.357,0.734,0.130,107.5
49,강백호,/data/team/ci/2025/12001.svg,DH,0.30,20,0.27,0.03,90,90,82,7,22,6,0,3,37,10,0,1,7,1,0,18,2,0,0,0.268,0.333,0.451,0.784,0.138,114.4
50,김휘집,/data/team/ci/2025/11001.svg,3B,0.30,15,0.33,-0.03,52,52,45,6,10,1,0,3,20,8,0,0,6,1,0,11,0,0,0,0.222,0.327,0.444,0.771,0.135,115.5
51,최주환,/data/team/ci/2025/10001.svg,1B,0.29,20,0.53,-0.24,85,85,77,7,24,9,1,1,38,14,0,0,6,1,0,8,1,0,1,0.312,0.365,0.494,0.859,0.167,147.0
52,플로리얼,/data/team/ci/2025/7002.svg,CF,0.26,22,0.46,-0.19,98,98,88,9,23,8,1,1,36,16,4,2,9,0,1,24,2,0,1,0.261,0.327,0.409,0.736,0.120,99.3
53,박주홍,/data/team/ci/2025/10001.svg,RF,0.26,22,0.33,-0.08,59,58,51,6,14,2,0,2,22,8,4,0,6,0,0,18,1,1,1,0.275,0.345,0.431,0.776,0.135,116.4
54,최원영,/data/team/ci/2025/5002.svg,CF,0.25,20,-0.03,0.28,11,11,10,8,2,2,0,0,4,1,2,1,0,0,0,2,1,0,1,0.200,0.182,0.400,0.582,0.034,32.7
55,한승택,/data/team/ci/2025/2002.svg,C,0.23,3,0.17,0.06,4,4,3,2,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0.667,0.750,1.000,1.750,0.492,427.3
56,김동헌,/data/team/ci/2025/10001.svg,C,0.23,9,0.21,0.02,25,25,21,2,6,1,0,0,7,3,0,0,3,1,0,5,0,0,0,0.286,0.400,0.333,0.733,0.146,130.9
57,김민성,/data/team/ci/2025/3001.svg,2B,0.23,17,0.18,0.05,72,72,63,8,16,2,0,1,21,12,0,1,7,2,0,8,1,0,0,0.254,0.347,0.333,0.680,0.115,87.3
58,추재현,/data/team/ci/2025/6002.svg,LF,0.20,11,0.16,0.04,40,39,37,5,9,2,1,1,16,3,0,0,1,1,0,6,2,1,0,0.243,0.282,0.432,0.714,0.108,96.1
59,김건희,/data/team/ci/2025/10001.svg,C,0.20,10,0.11,0.09,36,36,34,4,8,2,0,1,13,3,0,0,1,0,0,13,0,0,1,0.235,0.250,0.382,0.632,0.067,58.0
60,최지훈,/data/team/ci/2025/9002.svg,CF,0.20,18,0.17,0.02,82,81,73,10,21,2,0,1,26,7,2,2,6,0,0,10,0,1,2,0.288,0.333,0.356,0.689,0.104,87.7
61,장준원,/data/team/ci/2025/12001.svg,SS,0.19,8,0.06,0.13,25,24,24,1,7,2,0,0,9,3,0,0,0,0,0,5,0,1,0,0.292,0.292,0.375,0.667,0.088,74.6
62,이진영,/data/team/ci/2025/7002.svg,RF,0.19,14,0.14,0.06,42,42,37,8,10,2,0,1,15,6,0,0,3,1,0,13,0,0,1,0.270,0.333,0.405,0.738,0.123,101.2
63,심재훈,/data/team/ci/2025/1001.svg,2B,0.19,1,0.18,0.01,5,5,2,2,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0.500,0.800,0.500,1.300,0.406,380.9
64,이재원,/data/team/ci/2025/7002.svg,C,0.19,21,0.08,0.11,27,27,24,0,5,0,1,0,7,3,0,0,3,0,0,6,1,0,0,0.208,0.296,0.292,0.588,0.077,64.5
65,허경민,/data/team/ci/2025/12001.svg,3B,0.19,19,0.11,0.08,85,85,76,6,22,1,0,1,26,5,0,0,7,1,0,8,4,0,1,0.289,0.353,0.342,0.695,0.114,94.0
66,오영수,/data/team/ci/2025/11001.svg,DH,0.18,3,0.18,0.00,12,12,11,1,4,1,0,1,8,4,0,1,1,0,0,4,0,0,0,0.364,0.417,0.727,1.144,0.259,196.8
67,윤동희,/data/team/ci/2025/3001.svg,RF,0.18,13,0.14,0.04,49,49,39,7,7,1,0,1,11,2,1,0,9,1,0,11,2,0,0,0.179,0.347,0.282,0.629,0.109,87.8
68,이우성,/data/team/ci/2025/2002.svg,LF,0.17,18,0.18,-0.01,66,66,58,3,15,6,0,1,24,7,0,0,8,0,0,12,2,0,0,0.259,0.348,0.414,0.762,0.138,116.3
69,변우혁,/data/team/ci/2025/2002.svg,3B,0.17,16,0.05,0.12,59,59,55,3,15,2,0,0,17,12,0,0,3,1,0,15,1,0,0,0.273,0.322,0.309,0.631,0.089,75.0
70,권동진,/data/team/ci/2025/12001.svg,SS,0.15,7,0.19,-0.04,15,14,13,2,4,1,1,0,7,2,0,0,1,0,0,5,0,1,0,0.308,0.357,0.538,0.895,0.180,150.4
71,박찬호,/data/team/ci/2025/2002.svg,SS,0.15,12,0.06,0.09,50,50,43,3,9,2,0,0,11,3,1,1,7,0,0,5,1,0,0,0.209,0.320,0.256,0.576,0.081,68.0
72,박계범,/data/team/ci/2025/6002.svg,2B,0.14,14,0.15,-0.01,45,42,39,6,10,2,1,0,14,6,0,0,3,0,0,11,2,3,0,0.256,0.310,0.359,0.669,0.099,87.0
73,이지영,/data/team/ci/2025/9002.svg,C,0.14,18,0.11,0.03,64,62,57,5,14,3,0,1,20,4,0,1,3,1,0,5,1,2,1,0.246,0.290,0.351,0.641,0.084,70.6
74,이도윤,/data/team/ci/2025/7002.svg,2B,0.14,12,0.07,0.06,24,23,20,2,4,1,1,0,7,4,0,0,3,0,0,4,1,1,0,0.200,0.304,0.350,0.654,0.101,83.2
75,장두성,/data/team/ci/2025/3001.svg,CF,0.13,19,-0.22,0.35,47,42,41,6,11,1,0,0,12,6,1,3,1,0,0,5,0,5,0,0.268,0.286,0.293,0.579,0.059,45.1
76,최인호,/data/team/ci/2025/7002.svg,LF,0.13,15,0.23,-0.10,26,26,21,1,6,2,0,0,8,2,1,0,4,1,0,6,1,0,0,0.286,0.423,0.381,0.804,0.174,137.8
77,한태양,/data/team/ci/2025/3001.svg,2B,0.13,17,0.31,-0.19,9,9,7,6,4,1,0,0,5,1,2,0,2,0,0,1,0,0,0,0.571,0.667,0.714,1.381,0.378,296.8
78,오태곤,/data/team/ci/2025/9002.svg,1B,0.12,18,0.01,0.12,56,54,46,6,9,2,0,1,14,6,4,1,8,0,0,11,0,2,0,0.196,0.315,0.304,0.619,0.092,76.9
79,박준영,/data/team/ci/2025/6002.svg,SS,0.11,18,0.36,-0.25,54,53,46,4,12,4,0,0,16,3,1,0,7,0,0,15,1,1,0,0.261,0.358,0.348,0.706,0.125,108.0
80,채은성,/data/team/ci/2025/7002.svg,1B,0.10,22,0.13,-0.03,85,85,77,4,21,7,0,1,31,5,0,1,6,2,0,16,1,0,0,0.273,0.341,0.403,0.744,0.130,107.1
81,김규성,/data/team/ci/2025/2002.svg,SS,0.10,19,-0.05,0.16,55,53,50,7,12,1,0,0,13,5,1,0,3,0,0,19,0,2,0,0.240,0.283,0.260,0.543,0.052,43.3
82,한재환,/data/team/ci/2025/11001.svg,DH,0.10,11,-0.05,0.15,20,20,19,1,5,0,0,0,5,4,0,0,0,1,0,7,0,0,0,0.263,0.300,0.263,0.563,0.063,56.6
83,윤도현,/data/team/ci/2025/2002.svg,3B,0.10,3,0.19,-0.09,8,8,6,3,2,2,0,0,4,0,0,0,2,0,0,2,0,0,0,0.333,0.500,0.667,1.167,0.290,251.6
84,양석환,/data/team/ci/2025/6002.svg,1B,0.10,18,0.35,-0.25,76,76,67,7,19,2,0,3,30,11,0,0,4,2,0,21,0,0,3,0.284,0.329,0.448,0.777,0.128,111.9
85,이호준,/data/team/ci/2025/3001.svg,SS,0.10,15,0.24,-0.15,26,26,22,6,5,1,2,0,10,1,0,0,3,1,0,6,0,0,0,0.227,0.346,0.455,0.801,0.158,119.7
86,김인태,/data/team/ci/2025/6002.svg,LF,0.09,13,0.26,-0.17,22,22,20,2,7,2,0,1,12,5,0,0,2,0,0,5,0,0,0,0.350,0.409,0.600,1.009,0.219,186.0
87,전태현,/data/team/ci/2025/10001.svg,3B,0.08,21,0.12,-0.04,65,63,57,8,15,3,0,0,18,3,0,0,6,0,0,22,0,2,0,0.263,0.333,0.316,0.649,0.099,87.3
88,장성우,/data/team/ci/2025/12001.svg,C,0.07,19,0.18,-0.11,75,75,62,6,13,2,0,1,18,11,0,0,10,0,0,17,0,0,3,0.210,0.307,0.290,0.597,0.078,64.9
89,이주헌,/data/team/ci/2025/5002.svg,C,0.06,10,0.07,0.00,17,17,13,1,2,0,0,0,2,0,0,0,3,1,0,4,0,0,0,0.154,0.353,0.154,0.507,0.087,81.9
90,정훈,/data/team/ci/2025/3001.svg,DH,0.06,19,0.01,0.05,57,57,53,6,13,5,0,1,21,4,0,0,4,0,0,13,2,0,0,0.245,0.298,0.396,0.694,0.104,80.8
91,김성현,/data/team/ci/2025/9002.svg,3B,0.06,12,0.09,-0.03,22,20,17,2,4,0,0,0,4,0,0,0,3,0,0,3,0,2,0,0.235,0.350,0.235,0.585,0.089,73.3
92,김도영,/data/team/ci/2025/2002.svg,3B,0.05,1,0.03,0.03,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.226,196.7
93,임지열,/data/team/ci/2025/10001.svg,RF,0.05,2,0.05,0.00,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.631,479.9
94,최항,/data/team/ci/2025/3001.svg,1B,0.05,3,-0.05,0.09,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.178,-145.0
95,문정빈,/data/team/ci/2025/5002.svg,DH,0.04,12,0.01,0.03,19,19,16,2,2,0,0,1,5,3,0,0,1,2,0,6,0,0,0,0.125,0.263,0.313,0.576,0.076,69.7
96,디아즈,/data/team/ci/2025/1001.svg,1B,0.04,21,0.03,0.01,86,86,80,9,21,4,0,5,40,15,0,0,5,0,0,16,2,0,1,0.263,0.302,0.500,0.802,0.132,110.4
97,고명준,/data/team/ci/2025/9002.svg,1B,0.04,18,-0.07,0.11,65,65,59,2,16,2,0,1,21,8,0,0,5,0,0,14,2,0,1,0.271,0.323,0.356,0.679,0.101,85.4
98,하주석,/data/team/ci/2025/7002.svg,SS,0.04,3,-0.10,0.14,8,8,8,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.125,0.125,0.125,0.250,-0.077,-65.0
99,배정대,/data/team/ci/2025/12001.svg,CF,0.04,20,0.10,-0.07,75,73,66,4,16,3,2,1,26,9,2,2,2,3,0,19,0,2,2,0.242,0.288,0.394,0.682,0.098,80.6
100,양도근,/data/team/ci/2025/1001.svg,2B,0.03,16,-0.05,0.08,11,10,10,3,2,0,0,0,2,1,1,0,0,0,0,3,0,1,0,0.200,0.200,0.200,0.400,-0.016,-13.7
101,박정우,/data/team/ci/2025/2002.svg,LF,0.03,15,0.03,-0.01,9,9,7,2,2,1,0,0,3,0,0,1,2,0,0,2,1,0,0,0.286,0.444,0.429,0.873,0.198,166.8
102,김민혁,/data/team/ci/2025/6002.svg,DH,0.03,3,0.03,0.00,5,5,4,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.250,0.400,0.250,0.650,0.125,99.2
103,박건우,/data/team/ci/2025/11001.svg,CF,0.02,10,0.11,-0.09,40,40,34,3,11,4,0,0,15,7,0,1,4,0,0,4,1,0,2,0.324,0.375,0.441,0.816,0.151,133.9
104,심우준,/data/team/ci/2025/7002.svg,SS,0.02,19,-0.26,0.28,62,60,57,5,10,2,0,0,12,3,3,0,3,0,0,14,0,2,0,0.175,0.217,0.211,0.428,0.004,3.3
105,전병우,/data/team/ci/2025/1001.svg,2B,0.02,8,-0.12,0.14,13,13,10,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0.000,0.231,0.000,0.231,-0.015,-13.2
106,정현승,/data/team/ci/2025/9002.svg,RF,0.02,3,0.07,-0.05,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.405,401.3
107,송승환,/data/team/ci/2025/11001.svg,LF,0.01,2,-0.03,0.03,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.178,-148.7
108,이영빈,/data/team/ci/2025/5002.svg,1B,0.01,6,-0.08,0.08,6,6,6,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.167,0.167,0.167,0.334,-0.043,-40.2
109,최성민,/data/team/ci/2025/12001.svg,RF,0.00,14,-0.15,0.16,9,9,9,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.111,0.111,0.111,0.222,-0.088,-72.9
110,최상민,/data/team/ci/2025/9002.svg,RF,0.00,14,0.07,-0.07,5,5,3,2,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0.333,0.600,0.333,0.933,0.280,246.2
111,오선우,/data/team/ci/2025/2002.svg,DH,0.00,4,0.10,-0.10,15,15,14,1,4,0,0,1,7,3,0,0,1,0,0,3,0,0,0,0.286,0.333,0.500,0.833,0.147,128.2
112,전준우,/data/team/ci/2025/3001.svg,LF,-0.01,21,-0.06,0.05,87,87,78,4,20,4,0,1,27,13,1,0,7,0,0,11,0,0,2,0.256,0.310,0.346,0.656,0.092,71.9
113,김영웅,/data/team/ci/2025/1001.svg,3B,-0.01,21,-0.14,0.13,87,87,81,8,21,2,0,3,32,14,1,1,4,0,0,25,3,0,2,0.259,0.287,0.395,0.682,0.090,75.4
114,오선진,/data/team/ci/2025/10001.svg,SS,-0.02,15,-0.03,0.01,19,18,16,2,3,1,0,0,4,2,0,0,2,0,0,5,1,1,0,0.188,0.278,0.250,0.528,0.055,48.7
115,최정용,/data/team/ci/2025/2002.svg,2B,-0.02,4,-0.09,0.07,6,6,6,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.167,0.167,0.167,0.334,-0.043,-36.7
116,권혁빈,/data/team/ci/2025/10001.svg,LF,-0.02,2,-0.05,0.03,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,-0.178,-140.1
117,홍현빈,/data/team/ci/2025/1001.svg,LF,-0.02,3,-0.02,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.178,-140.1
118,안주형,/data/team/ci/2025/1001.svg,2B,-0.02,2,-0.02,-0.01,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,0.024,22.7
119,김동준,/data/team/ci/2025/6002.svg,RF,-0.02,1,-0.02,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.178,-166.8
120,함수호,/data/team/ci/2025/1001.svg,LF,-0.02,1,-0.03,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.178,-166.8
121,안현민,/data/team/ci/2025/12001.svg,LF,-0.03,1,-0.03,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.178,-148.7
121,서유신,/data/team/ci/2025/10001.svg,2B,-0.03,1,-0.03,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.178,-176.2
123,박준순,/data/team/ci/2025/6002.svg,2B,-0.03,1,-0.03,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.178,-166.8
124,최정원,/data/team/ci/2025/11001.svg,CF,-0.03,2,-0.03,0.00,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.178,-135.4
125,박시원,/data/team/ci/2025/11001.svg,CF,-0.03,12,0.23,-0.26,15,15,12,6,4,1,0,0,5,0,0,0,3,0,0,4,0,0,0,0.333,0.467,0.417,0.884,0.202,176.1
126,김태군,/data/team/ci/2025/2002.svg,C,-0.04,16,-0.13,0.09,41,41,37,2,7,2,0,0,9,4,0,0,2,1,0,2,0,0,1,0.189,0.244,0.243,0.487,0.031,25.6
127,한준수,/data/team/ci/2025/2002.svg,C,-0.04,13,-0.06,0.02,33,33,29,3,4,2,0,2,12,5,0,0,3,0,0,5,0,0,1,0.138,0.212,0.414,0.626,0.063,53.9
128,유준규,/data/team/ci/2025/12001.svg,RF,-0.04,5,-0.07,0.02,6,6,5,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0.000,0.167,0.000,0.167,-0.061,-51.3
129,이병헌,/data/team/ci/2025/1001.svg,C,-0.05,10,-0.08,0.03,10,10,10,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,-0.016,-13.8
130,박재엽,/data/team/ci/2025/3001.svg,C,-0.05,1,-0.03,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.178,-135.4
131,최승민,/data/team/ci/2025/5002.svg,LF,-0.05,2,-0.03,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.178,-166.8
132,김헌곤,/data/team/ci/2025/1001.svg,RF,-0.05,21,0.04,-0.09,63,63,58,8,15,3,0,2,24,3,1,1,3,2,0,9,1,0,0,0.259,0.317,0.414,0.731,0.120,101.1
133,서건창,/data/team/ci/2025/2002.svg,2B,-0.05,10,-0.10,0.05,26,24,22,1,3,1,0,1,7,2,1,0,2,0,0,5,1,2,0,0.136,0.208,0.318,0.526,0.036,29.7
